Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Climb Time,Min Temp,Best Lap Time,Number of Laps
Running,6/29/2019 7:31,San Bernardino County Running,6.54,726,3:03:29,101,148,0,63,244,28:03:00,6:20,1700,1552,0.92,3:03:29,0,17:01.2,7
Running,6/28/2019 7:18,Santee Running,1.82,203,0:16:21,141,172,0,172,192,9:00,14:21,34,23,1.04,16:21,0,07:31.7,2
Running,6/6/2019 7:39,Running,2.26,177,0:19:28,135,148,0,172,183,8:37,6:21,0,0,1.08,19:28,0,01:57.8,3
Running,6/5/2019 6:39,Yukon Running,3.46,356,0:32:00,138,161,0,173,185,9:15,3:55,13,21,1,32:00:00,0,03:59.4,4
Running,6/4/2019 6:16,Yukon Running,3.57,360,0:32:38,135,171,0,173,181,9:09,5:45,882,827,1.02,32:38:00,0,04:34.7,4
Running,6/2/2019 16:37,Yukon Running,0.45,28,0:13:06,79,120,0,73,153,28:52:00,2:35,0,259,0.76,13:06,0,00:00.0,1
Running,6/1/2019 8:03,Running,2.12,209,0:20:05,140,169,0,171,179,9:29,6:43,0,0,0.99,20:05,0,01:15.4,3
Running,5/31/2019 6:35,Denali County Running,3.01,281,0:29:18,130,161,0,171,183,9:44,7:58,126,155,0.97,29:18:00,0,00:04.8,4
Running,5/30/2019 13:23,Denali County Running,2.6,301,0:34:30,0,0,0,138,190,13:17,7:21,242,66,0.88,34:30:00,0,07:40.1,3
Running,5/30/2019 8:10,Denali County Running,1.5,198,0:15:57,0,0,0,172,188,10:38,8:51,68,29,0.88,15:57,0,05:06.4,2
Running,5/28/2019 6:01,Running,1.8,129,0:15:11,127,153,0,171,177,8:27,7:08,0,0,1.11,15:11,0,06:45.0,2
Running,5/27/2019 11:22,Running,3.31,302,0:32:13,137,183,0,167,179,9:43,6:48,0,0,0.99,32:13:00,0,03:34.4,4
Running,5/25/2019 23:30,Running,0.45,41,0:15:44,0,0,0,62,129,35:09:00,17:13,0,0,0.74,15:44,0,00:00.0,1
Running,5/25/2019 17:35,Running,1.22,108,09:59.6,111,117,0,166,185,8:12,6:32,0,0,1.18,09:59.6,0,02:15.7,2
Running,5/24/2019 15:39,Hoonah-Angoon County Running,6.03,303,0:27:40,145,178,0,163,185,4:35,3:08,0,0,2.17,27:40:00,0,00:05.7,7
Running,5/24/2019 8:01,Running,0.35,46,03:25.9,0,0,0,178,192,9:48,8:13,0,0,0.92,03:25.9,0,00:00.0,1
Running,5/23/2019 16:51,Skagway Running,1.08,64,02:45.9,0,0,0,14,128,2:34,1:46,46,106,43.85,02:45.9,0,00:08.9,2
Running,5/23/2019 16:34,Skagway Running,1.04,105,09:07.6,0,0,0,4,122,8:46,2:54,87,475,46.18,09:07.6,0,00:09.3,2
Running,5/23/2019 15:03,Running,0,0,01:01.6,0,0,0,0,0,0,0,0,0,0,01:01.6,0,00:00.0,1
Running,5/23/2019 6:12,Skagway Running,1.2,156,0:11:26,0,0,0,176,183,9:32,2:23,45,0,0.96,11:26,0,01:28.3,2
Running,5/22/2019 12:05,Juneau Running,1.91,164,0:55:31,0,0,0,55,179,29:02:00,6:58,150,150,1.01,55:31:00,0,24:46.8,2
Running,5/22/2019 8:00,Running,1.01,131,09:46.6,0,0,0,175,181,9:43,8:32,0,0,0.95,09:46.6,0,00:03.5,2
Running,5/21/2019 16:48,Prince of Wales-Hyder County Running,3.77,334,0:43:13,129,175,0,118,186,11:27,3:00,0,0,1.49,43:13:00,0,08:21.8,4
Running,5/21/2019 5:10,Ketchikan Gateway County Running,3.43,323,0:15:09,0,0,0,176,197,4:25,2:29,0,0,2.06,15:09,0,01:32.4,4
Running,5/20/2019 6:45,Running,5.15,647,0:50:22,167,190,0,176,199,9:47,5:56,0,0,0.93,50:22:00,0,01:31.9,6
Running,5/14/2019 18:54,San Diego Running,4.64,595,0:42:20,153,177,0,169,191,9:07,3:19,813,814,1.04,42:20:00,0,06:47.8,5
Running,5/11/2019 6:55,San Diego Running,19.31,1896,3:12:14,144,168,0,169,184,9:57,0:50,60,59,0.96,3:12:14,0,03:20.4,20
Running,5/8/2019 18:35,San Diego Running,8.03,739,1:11:14,137,170,0,170,181,8:52,7:28,55,57,1.07,1:11:14,0,00:13.3,9
Running,5/4/2019 6:56,San Diego Running,11.02,1041,1:42:26,152,178,0,171,191,9:18,6:45,444,457,1.01,1:42:26,0,00:09.0,12
Running,4/28/2019 6:46,Monterey County Running,26.34,3204,4:46:44,151,178,0,162,248,10:53,7:22,2127,2403,0.91,4:46:44,0,03:48.2,27
Running,4/16/2019 19:01,San Diego Running,4.5,495,0:40:07,145,166,0,173,194,8:55,5:58,759,800,1.04,40:07:00,0,03:43.2,5
Running,4/13/2019 7:02,Oceanside Running,16.66,1604,2:39:26,161,195,0,167,245,9:34,5:29,146,149,1.01,2:39:26,0,07:48.4,17
Running,4/6/2019 7:39,El Cajon Running,4.57,583,0:40:36,0,0,0,171,191,8:54,7:22,57,85,1.06,40:36:00,0,04:33.5,5
Running,3/30/2019 8:09,Oceanside Running,15.95,1787,2:36:08,159,187,0,168,183,9:47,3:07,337,315,0.98,2:36:08,0,08:50.9,16
Running,3/27/2019 18:37,San Diego Running,4.02,485,0:38:09,150,176,0,166,184,9:29,3:18,32,29,1.02,38:09:00,0,00:09.8,5
Running,3/26/2019 18:53,San Diego Running,3.36,323,0:30:06,134,162,0,171,189,8:57,5:59,590,589,1.05,30:06:00,0,02:07.7,9
Running,3/23/2019 7:23,San Diego Running,14.96,1701,2:25:17,155,179,0,167,194,9:43,6:45,282,282,0.99,2:25:17,0,09:03.7,15
Running,3/19/2019 18:51,San Diego Running,5.29,600,0:47:02,149,182,0,169,196,8:54,5:55,785,750,1.07,47:02:00,0,02:29.8,6
Running,3/9/2019 7:23,San Diego - Running,17.02,2249,2:47:09,0,0,0,166,180,9:49,7:10,255,255,0.99,2:47:09,0,00:14.5,18
Running,3/3/2019 17:31,Santee - Running,4.06,529,0:41:22,0,0,0,167,181,10:12,8:26,153,153,0.95,41:22:00,0,00:27.1,5
Running,2/26/2019 18:53,San Diego - Running,3.65,417,0:36:06,155,179,0,168,187,9:54,7:49,611,637,0.97,36:06:00,0,06:29.3,4
Running,2/26/2019 6:48,Santee - Running,4.36,422,0:40:28,141,162,0,170,198,9:17,5:00,316,305,1.02,40:28:00,0,02:59.4,5
Running,2/23/2019 7:24,San Diego Running,10.28,1311,1:44:17,0,0,0,167,181,10:09,7:49,456,456,0.95,1:44:17,0,09:32.7,11
Running,2/14/2019 17:19,Santee Running,5,531,0:47:24,150,176,0,165,184,9:28,7:19,103,105,1.03,47:24:00,0,08:34.0,6
Running,2/12/2019 10:50,New Orleans Running,3.35,432,0:32:51,0,0,0,167,241,9:48,0:31,8,4,0.99,32:51:00,0,09:01.2,4
Running,2/10/2019 7:35,New Orleans Running,13.31,1486,1:59:16,160,183,0,169,182,8:58,1:45,7,13,1.06,1:59:16,0,08:09.8,14
Running,2/3/2019 7:30,Encinitas Running,6.23,660,0:53:18,136,152,0,168,183,8:34,7:29,119,118,1.12,53:18:00,0,07:57.8,7
Running,1/26/2019 7:26,Escondido Running,10.11,1023,1:38:51,152,180,0,166,181,9:46,5:32,256,266,0.99,1:38:51,0,09:12.8,11
Running,1/20/2019 8:02,Carlsbad Running,0.75,84,08:40.1,128,134,0,167,174,11:32,5:17,7,0,0.84,08:40.1,0,00:00.0,1
Running,1/19/2019 7:25,San Diego Running,12.01,1248,1:52:23,157,185,0,169,183,9:22,6:50,99,112,1.02,1:52:23,0,00:00.0,13
Running,1/15/2019 18:54,San Diego Running,2.08,265,0:15:28,0,0,0,171,191,7:27,6:16,373,369,1.27,15:28,0,00:00.0,3
Running,1/15/2019 18:36,San Diego Running,0.54,69,04:09.9,0,0,0,177,184,7:46,6:32,96,82,1.17,04:09.9,0,00:00.0,1
Running,1/5/2019 8:20,San Diego Running,4.51,465,0:42:35,153,170,0,173,183,9:26,2:34,359,323,0.99,42:35:00,0,00:00.0,5
Running,1/1/2019 15:35,Santee Running,7.1,903,1:05:28,0,0,0,167,184,9:13,6:50,98,96,1.05,1:05:28,0,00:00.0,8
Running,12/21/2018 15:30,San Diego Running,8.02,1022,1:14:21,0,0,0,169,184,9:16,7:45,42,46,1.03,1:14:21,0,00:00.0,9
Running,12/2/2018 9:42,Memphis Running,1.03,93,0:13:03,118,130,0,172,180,12:40,6:32,98,87,0.74,13:03,0,00:00.0,2
Running,12/1/2018 9:13,Memphis Running,26.33,3195,4:55:48,149,172,0,165,188,11:14,5:27,409,414,0.86,4:55:48,0,00:00.0,27
Running,11/28/2018 7:50,Santee Running,4.36,492,0:45:01,152,180,0,175,184,10:19,7:17,296,292,0.89,45:01:00,0,00:00.0,5
Running,11/24/2018 7:19,San Diego Running,10.15,1307,1:32:53,0,0,0,173,182,9:09,8:04,113,113,1.01,1:32:53,0,00:00.0,11
Running,11/22/2018 11:39,San Diego Running,3.51,439,1:39:26,102,167,0,78,174,28:19:00,5:38,530,530,0.73,1:39:26,0,00:00.0,4
Running,11/22/2018 7:43,San Diego Running,0.43,60,04:21.1,0,0,0,174,182,10:12,2:38,120,0,0.91,04:21.1,0,00:00.0,1
Running,11/21/2018 16:24,San Diego Running,8.02,555,1:14:11,124,144,0,171,186,9:15,7:55,57,61,1.02,1:14:11,0,00:00.0,9
Running,11/19/2018 14:08,San Diego Running,8.12,1050,1:13:08,0,0,0,170,180,9:00,7:34,51,62,1.05,1:13:08,0,00:00.0,9
Running,11/17/2018 7:21,Coronado Running,7.3,810,1:09:18,154,174,0,174,186,9:30,7:18,31,31,0.97,1:09:18,0,00:00.0,8
Running,11/13/2018 19:05,San Diego Running,1.01,58,08:25.8,116,141,0,181,208,8:21,5:29,86,113,1.06,08:25.8,0,00:00.0,2
Running,11/10/2018 7:48,Richmond Running,25.92,3166,5:00:05,0,0,0,164,180,11:35,5:55,707,707,0.85,5:00:05,0,00:00.0,26
Running,11/3/2018 7:26,San Diego Running,10.02,1002,1:35:21,145,159,0,172,180,9:31,7:46,31,26,0.98,1:35:21,0,00:00.0,11
Running,11/2/2018 7:01,Santee Running,3.55,312,0:33:47,135,153,0,173,190,9:31,7:51,139,144,0.98,33:47:00,0,00:00.0,4
Running,10/27/2018 7:20,Solana Beach Running,9.7,1008,1:41:50,148,177,0,170,188,10:30,7:21,664,724,0.9,1:41:50,0,00:00.0,10
Running,10/20/2018 8:35,San Bernardino County Running,13.65,1135,5:18:17,0,0,0,98,160,23:19,10:58,2264,3592,0.7,5:18:17,0,00:00.0,14
Running,10/13/2018 7:35,San Diego Running,11.01,997,1:49:10,147,188,0,169,186,9:55,4:48,452,453,0.96,1:49:10,0,00:00.0,12
Running,10/7/2018 6:09,Long Beach Running,26.41,3014,5:45:36,152,193,0,156,182,13:05,6:34,344,341,0.78,5:45:36,0,00:00.0,27
Running,9/26/2018 15:35,Yinchuan Running,0.84,94,0:14:09,0,0,0,103,126,16:48,3:17,13,0,0.93,14:09,0,00:00.0,1
Running,9/24/2018 14:20,Dali Running,3.08,348,1:05:24,0,0,0,90,122,21:13,3:06,3017,3031,0.84,1:05:24,0,00:00.0,4
Running,9/22/2018 10:29,Lijiang Running,1.02,78,0:28:18,0,0,0,76,134,27:48:00,2:06,0,0,0.75,28:18:00,0,00:00.0,2
Running,9/20/2018 11:53,Deqen Running,0.03,7,00:49.4,0,0,0,96,104,25:13:00,9:09,0,66,0.67,00:49.4,0,00:00.0,1
Running,9/19/2018 16:22,Deqen Running,1,43,0:40:15,0,0,0,65,127,40:09:00,2:33,110,289,0.61,40:15:00,0,00:00.0,2
Running,9/19/2018 14:15,Deqen Running,1.03,40,0:49:23,0,0,0,54,158,47:49:00,2:17,852,0,0.62,49:23:00,0,00:00.0,2
Running,9/19/2018 11:34,Deqen Running,0.56,31,0:27:07,0,0,0,50,159,48:09:00,1:33,507,0,0.67,27:07:00,0,00:00.0,1
Running,9/19/2018 10:53,Deqen Running,0.17,21,04:35.8,0,0,0,81,123,27:49:00,7:33,91,0,0.71,04:35.8,0,00:00.0,1
Running,9/18/2018 16:09,Deqen Running,1,98,0:20:44,0,0,0,105,154,20:49,10:09,0,46,0.74,20:44,0,00:00.0,1
Running,9/16/2018 9:00,Yinchuan Running,0.71,67,0:12:58,0,0,0,117,126,18:22,11:14,0,0,0.75,12:58,0,00:00.0,1
Running,9/15/2018 7:30,Yinchuan Running,0.34,32,08:03.1,0,0,0,88,184,23:32,10:32,0,0,0.78,08:03.1,0,00:00.0,1
Running,9/9/2018 7:04,Erie Running,26.42,3153,5:06:08,145,176,0,162,186,11:35,5:46,66,63,0.85,5:06:08,0,00:00.0,27
Running,9/4/2018 19:55,Santee Running,4,503,0:38:38,0,0,0,171,180,9:39,3:32,175,177,0.97,38:38:00,0,00:00.0,5
Running,8/26/2018 0:00,Lincoln County Running,22.58,2750,5:00:05,157,185,0,155,182,13:17,8:52,1082,827,0.78,5:00:05,0,00:00.0,23
Running,8/14/2018 19:47,San Diego Running,1.51,187,0:17:43,0,0,0,167,170,11:42,10:41,7,11,0.82,17:43,0,00:00.0,2
Running,8/14/2018 18:46,San Diego Running,6.5,784,0:59:30,0,0,0,174,186,9:09,6:21,54,59,1.01,59:30:00,0,00:00.0,20
Running,8/13/2018 19:03,San Diego Running,2.32,293,0:23:23,0,0,0,170,178,10:05,8:23,18,19,0.94,23:23,0,00:00.0,3
Running,8/11/2018 7:16,San Diego Running,11.1,1388,1:51:07,0,0,0,173,188,10:01,1:59,508,509,0.93,1:51:07,0,00:00.0,12
Running,8/10/2018 18:57,San Diego Running,7.03,896,1:12:15,0,0,0,169,176,10:16,2:09,25,24,0.93,1:12:15,0,00:00.0,8
Running,8/9/2018 19:01,San Diego Running,5.02,625,0:44:06,0,0,0,174,182,8:47,7:21,34,31,1.05,44:06:00,0,00:00.0,6
Running,8/8/2018 19:02,San Diego Running,5.1,636,0:50:02,0,0,0,170,178,9:48,7:47,8,16,0.97,50:02:00,0,00:00.0,6
Running,8/7/2018 19:03,San Diego Running,4,491,0:36:24,0,0,0,173,192,9:06,6:21,15,25,1.02,36:24:00,0,00:00.0,21
Running,8/6/2018 19:04,San Diego Running,8.01,998,1:14:50,0,0,0,169,178,9:20,7:55,41,40,1.02,1:14:50,0,00:00.0,9
Running,8/5/2018 7:19,San Diego Running,10.02,1244,1:33:24,0,0,0,174,190,9:19,7:49,31,33,0.99,1:33:24,0,00:00.0,11
Running,8/3/2018 18:36,San Diego Running,8,997,1:16:31,0,0,0,169,182,9:34,7:44,33,34,1,1:16:31,0,00:00.0,9
Running,7/30/2018 18:37,San Diego Running,8.18,1018,1:18:58,0,0,0,168,186,9:39,8:02,39,44,0.99,1:18:58,0,00:00.0,9
Running,7/28/2018 7:15,Coronado Running,6.32,780,0:57:17,0,0,0,175,182,9:04,8:04,24,23,1.01,57:17:00,0,00:00.0,7
Running,7/24/2018 3:15,Inyo County Running,7.68,269,5:56:22,0,0,0,35,159,46:24:00,11:33,4137,78,1.03,5:56:22,0,00:00.0,8
Running,7/21/2018 7:17,San Diego Running,9.06,864,1:25:03,148,177,0,175,186,9:23,8:35,40,39,0.98,1:25:03,0,00:00.0,10
Running,7/17/2018 18:44,San Diego Running,8.01,834,1:17:24,151,180,0,171,180,9:40,7:50,71,76,0.97,1:17:24,0,00:00.0,9
Running,7/16/2018 20:05,Santee Running,2.01,245,0:18:32,0,0,0,173,186,9:14,6:56,34,36,1,18:32,0,00:00.0,3
Running,7/15/2018 6:01,Missoula County Running,26.25,2716,5:02:15,152,191,0,164,182,11:31,6:37,380,219,0.85,5:02:15,0,00:00.0,27
Running,7/10/2018 6:49,Santee Running,4.62,576,0:45:48,0,0,0,170,181,9:55,6:43,300,301,0.96,45:48:00,0,00:00.0,5
Running,7/4/2018 8:11,Santee Running,5.17,497,0:51:51,141,175,0,173,178,10:01,4:06,311,318,0.93,51:51:00,0,00:00.0,6
Running,6/30/2018 7:26,Encinitas Running,10.35,963,1:37:08,145,193,0,175,188,9:23,4:48,235,240,0.98,1:37:08,0,00:00.0,11
Running,6/29/2018 19:08,San Diego Running,2.11,219,0:22:18,137,155,0,174,176,10:35,9:33,21,21,0.88,22:18,0,00:00.0,3
Running,6/23/2018 8:20,San Diego Running,7.15,682,1:07:20,146,178,0,176,186,9:25,7:35,86,83,0.97,1:07:20,0,00:00.0,8
Running,6/21/2018 20:09,Santee Running,2.64,261,0:26:55,131,147,0,174,178,10:13,3:58,116,114,0.91,26:55:00,0,00:00.0,3
Running,6/19/2018 6:24,Santee Running,5,554,0:53:43,151,177,0,172,178,10:44,9:08,74,75,0.87,53:43:00,0,00:00.0,6
Running,6/16/2018 7:49,Lake County Running,26.26,2730,4:51:04,144,160,0,166,196,11:05,8:26,389,504,0.87,4:51:04,0,00:00.0,27
Running,5/27/2018 6:03,Ojai Running,26.17,2467,4:13:05,151,181,0,171,192,9:40,6:17,477,1213,0.97,4:13:05,0,00:00.0,27
Running,5/23/2018 8:02,Santee Running,2.7,299,0:30:33,153,192,0,174,182,11:20,8:24,39,41,0.82,30:33:00,0,00:00.0,3
Running,5/22/2018 18:47,San Diego Running,3.1,277,0:29:56,139,159,0,179,202,9:39,6:33,499,534,0.93,29:56:00,0,00:00.0,4
Running,5/21/2018 19:18,Santee Running,3,290,0:30:27,139,152,0,175,180,10:09,8:38,99,85,0.91,30:27:00,0,00:00.0,4
Running,5/20/2018 16:15,Santee Running,5.55,550,1:01:30,139,165,0,171,180,11:04,7:41,50,53,0.85,1:01:30,0,00:00.0,6
Running,5/19/2018 6:50,San Diego Running,10.01,845,1:30:47,135,157,0,178,192,9:04,7:49,54,60,1,1:30:47,0,00:00.0,11
Running,5/17/2018 19:08,San Diego Running,2.01,195,0:18:24,134,145,0,180,188,9:09,4:39,0,8,0.98,18:24,0,00:00.0,3
Running,5/15/2018 18:45,San Diego Running,4.45,406,0:41:01,136,162,0,177,198,9:13,6:40,748,781,0.99,41:01:00,0,00:00.0,5
Running,5/14/2018 20:00,Santee Running,4.04,493,0:41:53,0,0,0,173,178,10:22,9:06,181,182,0.9,41:53:00,0,00:00.0,5
Running,5/13/2018 19:03,Santee Running,5.4,551,1:00:17,136,156,0,170,176,11:10,9:35,108,110,0.85,1:00:17,0,00:00.0,6
Running,5/12/2018 6:51,San Diego Running,19.32,1623,3:00:02,141,174,0,172,190,9:19,7:14,60,64,1,3:00:02,0,00:00.0,20
Running,5/10/2018 19:03,San Diego Running,8.02,821,1:10:41,140,166,0,174,182,8:49,7:44,73,61,1.05,1:10:41,0,00:00.0,9
Running,5/9/2018 7:19,Santee Running,5.08,613,0:49:56,166,192,0,175,188,9:50,4:39,268,279,0.94,49:56:00,0,00:00.0,6
Running,5/8/2018 19:00,San Diego Running,3.96,309,0:35:16,128,155,0,176,198,8:54,5:29,608,605,1.03,35:16:00,0,00:00.0,4
Running,5/7/2018 6:58,Santee Running,8,860,1:21:21,146,173,0,172,180,10:10,8:39,365,392,0.92,1:21:21,0,00:00.0,9
Running,5/6/2018 7:40,Santee Running,5.06,449,0:51:51,130,175,0,174,182,10:14,8:33,93,78,0.9,51:51:00,0,00:00.0,6
Running,5/5/2018 6:56,San Diego Running,15.01,1857,2:31:22,0,0,0,171,182,10:05,3:43,758,761,0.93,2:31:22,0,00:00.0,16
Running,5/3/2018 20:31,Santee Running,1.07,94,0:12:18,118,127,0,170,178,11:33,9:22,16,0,0.82,12:18,0,00:00.0,2
Running,4/30/2018 18:53,San Diego Running,0.25,21,03:24.9,107,133,0,151,176,13:35,7:03,0,0,0.79,03:24.9,0,00:00.0,1
Running,4/29/2018 7:35,Oceanport Running,26.43,3299,4:01:56,0,0,0,169,185,9:09,7:56,93,97,1.04,4:01:56,0,00:00.0,27
Running,4/24/2018 18:53,San Diego Running,3.14,281,0:26:27,142,154,0,179,192,8:26,6:47,538,535,1.07,26:27:00,0,00:00.0,4
Running,4/23/2018 7:58,Santee Running,3.08,312,0:31:03,142,175,0,175,188,10:04,6:58,171,169,0.91,31:03:00,0,00:00.0,4
Running,4/22/2018 16:53,Santee Running,2.31,175,0:55:00,0,0,0,91,184,23:51,9:08,48,12,0.7,55:00:00,0,00:00.0,3
Running,4/21/2018 6:44,Ojai Running,18.03,1851,2:48:07,164,185,0,171,182,9:19,7:28,237,974,1.01,2:48:07,0,00:00.0,19
Running,4/17/2018 19:03,San Diego Running,2.04,214,0:18:50,132,170,0,177,196,9:15,7:09,327,371,0.98,18:50,0,00:00.0,3
Running,4/16/2018 18:58,San Diego Running,5.05,511,0:43:37,129,151,0,172,178,8:38,7:14,35,40,1.08,43:37:00,0,00:00.0,6
Running,4/15/2018 18:26,Santee Running,5.03,490,0:49:43,140,177,0,169,176,9:53,7:36,96,113,0.96,49:43:00,0,00:00.0,6
Running,4/14/2018 7:22,Los Angeles Running,4.08,434,0:42:45,123,141,0,172,182,10:29,1:36,157,129,0.89,42:45:00,0,00:00.0,5
Running,4/10/2018 19:16,San Diego Running,3.39,417,0:25:34,0,0,0,176,186,7:33,6:12,601,589,1.21,25:34:00,0,00:00.0,4
Running,4/9/2018 18:25,San Diego Running,8.02,777,1:12:51,145,166,0,168,178,9:05,6:36,46,47,1.05,1:12:51,0,00:00.0,9
Running,4/8/2018 19:26,Santee Running,5.17,521,0:51:28,140,177,0,170,174,9:57,8:46,254,244,0.95,51:28:00,0,00:00.0,6
Running,4/7/2018 6:49,San Diego Running,17.02,1446,2:43:24,142,178,0,169,188,9:36,5:03,1023,1040,0.99,2:43:24,0,00:00.0,18
Running,4/6/2018 7:32,Santee Running,6.03,652,1:00:11,150,175,0,171,176,9:59,6:50,363,377,0.94,1:00:11,0,00:00.0,7
Running,4/3/2018 19:04,San Diego Running,2.37,136,0:22:03,113,145,0,173,186,9:18,1:42,226,255,1,22:03,0,00:00.0,3
Running,4/2/2018 19:22,Santee Running,5.02,520,0:46:29,146,179,0,170,178,9:16,5:53,203,183,1.02,46:29:00,0,00:00.0,6
Running,3/31/2018 8:14,Oceanside Running,16.38,1059,2:31:55,128,147,0,167,190,9:16,6:21,394,376,1.04,2:31:55,0,00:00.0,17
Running,3/29/2018 18:48,San Diego Running,8.02,797,1:11:09,157,176,0,168,174,8:52,7:58,41,42,1.08,1:11:09,0,00:00.0,9
Running,3/28/2018 18:50,San Diego Running,6.14,597,1:00:02,143,164,0,167,180,9:46,7:49,54,52,0.98,1:00:02,0,00:00.0,7
Running,3/27/2018 18:54,San Diego Running,2.9,335,0:25:07,135,141,0,173,186,8:40,6:34,462,442,1.07,25:07:00,0,00:00.0,3
Running,3/26/2018 18:55,San Diego Running,2.02,188,0:19:55,124,134,0,167,170,9:51,8:56,12,18,0.98,19:55,0,00:00.0,3
Running,3/24/2018 7:22,San Diego Running,17.04,1004,2:28:19,118,153,0,168,182,8:42,6:25,266,266,1.1,2:28:19,0,00:00.0,18
Running,3/22/2018 18:31,San Diego Running,5.33,675,0:52:33,0,0,0,165,174,9:52,8:03,28,34,0.99,52:33:00,0,00:00.0,6
Running,3/21/2018 6:51,Santee Running,10.24,1024,1:37:04,152,180,0,167,184,9:29,7:04,414,435,1.01,1:37:04,0,00:00.0,11
Running,3/15/2018 19:13,Santee Running,10.07,1090,1:35:44,159,176,0,165,186,9:30,7:21,299,299,1.03,1:35:44,0,00:00.0,11
Running,3/14/2018 7:28,Santee Running,5.1,533,0:48:23,148,167,0,169,180,9:29,4:25,78,67,1,48:23:00,0,00:00.0,6
Running,3/10/2018 7:04,Washington Running,26.46,2128,4:06:01,130,165,0,168,184,9:18,4:37,755,739,1.03,4:06:01,0,00:00.0,27
Running,3/6/2018 18:59,San Diego Running,2.52,213,0:24:01,117,129,0,168,182,9:32,3:54,417,405,1.01,24:01:00,0,00:00.0,3
Running,3/4/2018 18:11,Santee Running,5.09,527,0:50:23,143,167,0,163,172,9:54,8:13,165,171,1,50:23:00,0,00:00.0,6
Running,3/3/2018 7:21,San Diego Running,16.02,1530,2:22:36,152,191,0,167,200,8:54,7:33,247,249,1.08,2:22:36,0,00:00.0,17
Running,3/2/2018 7:03,Santee Running,5.11,548,0:44:51,151,175,0,169,178,8:46,1:48,109,100,1.08,44:51:00,0,00:00.0,6
Running,3/1/2018 7:22,Santee Running,5.24,523,0:48:42,152,186,0,168,178,9:18,7:25,231,228,1.03,48:42:00,0,00:00.0,6
Running,2/27/2018 18:37,San Diego Running,0.71,58,07:28.5,121,137,0,181,190,10:33,9:24,91,87,0.84,07:28.5,0,00:00.0,1
Running,2/24/2018 7:23,San Diego Running,13.36,1199,2:20:32,145,181,0,166,214,10:31,6:33,805,805,0.92,2:20:32,0,00:00.0,14
Running,2/21/2018 7:32,Santee Running,5.05,531,0:49:05,157,175,0,168,186,9:43,3:10,155,167,0.98,49:05:00,0,00:00.0,6
Running,2/18/2018 7:03,Austin Running,26.32,2935,4:06:09,164,184,0,167,198,9:21,4:25,851,796,1.03,4:06:09,0,00:00.0,27
Running,2/14/2018 7:45,Santee Running,4.07,421,0:38:07,150,169,0,168,176,9:22,7:42,184,182,1.02,38:07:00,0,00:00.0,5
Running,2/12/2018 6:59,Santee Running,5.03,520,0:49:25,150,173,0,165,174,9:50,5:00,245,231,0.99,49:25:00,0,00:00.0,6
Running,2/10/2018 7:22,San Diego Running,11.02,1231,1:44:12,154,201,0,166,174,9:27,8:23,40,36,1.03,1:44:12,0,00:00.0,12
Running,2/9/2018 7:08,Santee Running,6.1,595,1:00:28,143,178,0,167,174,9:55,7:22,312,302,0.97,1:00:28,0,00:00.0,7
Running,2/6/2018 19:07,San Diego Running,0.36,22,03:22.5,114,132,0,173,182,9:17,7:37,34,33,1,03:22.5,0,00:00.0,1
Running,1/28/2018 6:18,Miami Running,26.71,2796,5:14:59,148,180,0,152,176,11:47,2:00,101,95,0.88,5:14:59,0,00:00.0,27
Running,1/23/2018 19:28,San Diego Running,0.39,52,05:01.4,140,149,0,161,170,12:53,10:41,44,46,0.78,05:01.4,0,00:00.0,1
Running,1/23/2018 19:00,San Diego Running,1.52,49,09:09.2,115,146,0,186,206,6:01,5:05,230,229,1.44,09:09.2,0,00:00.0,2
Running,1/20/2018 7:21,San Diego Running,10.02,725,1:25:32,127,137,0,170,182,8:32,7:13,38,38,1.11,1:25:32,0,00:00.0,11
Running,1/18/2018 6:49,Santee Running,8.06,671,1:16:15,134,151,0,170,182,9:28,7:39,277,277,1,1:16:15,0,00:00.0,10
Running,1/16/2018 18:47,San Diego Running,2.26,292,0:16:54,0,0,0,177,186,7:29,5:07,350,365,1.22,16:54,0,00:00.0,3
Running,1/9/2018 19:08,San Diego Running,1.33,121,0:13:27,128,150,0,173,182,10:09,9:13,185,226,0.91,13:27,0,00:00.0,2
Running,1/7/2018 16:57,Santee Running,10.03,1087,1:33:46,158,188,0,163,182,9:21,7:16,359,325,1.05,1:33:46,0,00:00.0,11
Running,12/29/2017 7:55,Fawnskin Running,9.48,858,3:25:32,0,0,0,104,148,21:41,7:58,497,2358,0.72,3:25:32,0,00:00.0,10
Running,12/27/2017 16:44,Santee Running,5.11,391,0:47:19,123,155,0,164,180,9:16,7:59,109,124,1.06,47:19:00,0,00:00.0,6
Running,12/5/2017 19:12,San Diego Running,4.05,252,0:35:30,124,144,0,171,200,8:46,5:15,562,598,1.07,35:30:00,0,00:00.0,5
Running,12/3/2017 11:26,Folsom Running,26.33,2586,4:24:55,153,186,0,157,178,10:04,6:43,324,661,1.01,4:24:55,0,00:00.0,27
Running,11/28/2017 19:01,San Diego Running,1.09,76,09:03.1,121,138,0,170,182,8:18,6:34,118,147,1.14,09:03.1,0,00:00.0,2
