Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,5/22/2020 19:30,FALSE,Santee Running,2.02,231,0:19:08,148,165,3.1,167,179,9:29,8:00,89,89,1.02,0,0,--,0,0,0,19:08,0:00,68,0:00,No,00:09.6,3,0,14,14,14
Running,5/17/2020 20:02,FALSE,Santee Running,3.22,397,0:32:43,150,167,3.5,163,173,10:09,8:27,131,138,0.97,0,0,--,0,0,0,32:43:00,0:00,71.6,0:00,No,02:22.8,4,0,21,21,21
Running,4/19/2020 15:31,FALSE,Santee Running,4.62,488,1:34:43,95,129,1.5,101,172,20:29,9:49,240,243,0.78,0,0,--,0,0,0,1:34:43,0:00,77,0:00,No,10:14.1,5,0,15,15,15
Running,4/18/2020 17:02,FALSE,Santee Running,11.03,"1,147",1:41:54,143,163,4.2,168,184,9:14,8:03,472,456,1.04,0,0,--,0,0,0,1:41:54,0:00,66.2,0:00,No,00:17.1,12,0,16,16,16
Running,4/12/2020 14:38,FALSE,Santee Running,3.16,335,0:27:47,142,161,3.2,171,182,8:48,6:54,85,92,1.07,0,0,--,0,0,0,27:47:00,0:00,62.6,0:00,No,01:07.9,4,0,17,17,17
Running,4/11/2020 16:53,FALSE,Santee Running,5.03,550,0:44:45,146,164,3.8,169,204,8:54,7:47,194,154,1.07,0,0,--,0,0,0,44:45:00,0:00,71.6,0:00,No,00:16.3,6,0,18,18,18
Running,4/4/2020 18:11,FALSE,Santee Running,5.5,622,0:46:55,153,170,4.3,168,176,8:32,7:20,190,177,1.12,0,0,--,0,0,0,46:55:00,0:00,64.4,0:00,No,04:27.5,6,0,14,14,14
Running,3/28/2020 13:20,FALSE,San Diego Running,5.02,572,0:49:24,139,152,3.3,170,180,9:50,8:02,85,59,0.97,0,0,--,0,0,0,49:24:00,0:00,71.6,0:00,No,00:10.9,6,0,14,14,14
Running,3/23/2020 18:58,FALSE,San Diego County Running,1.73,180,0:29:29,87,117,0.7,115,166,17:01,11:33,62,52,0.82,0,0,--,0,0,0,29:29:00,0:00,73.4,0:00,No,12:13.5,2,0,--,--,--
Running,3/22/2020 14:25,FALSE,San Diego Running,5.07,591,0:48:35,141,178,3.4,169,186,9:35,6:51,256,230,0.99,0,0,--,0,0,0,48:35:00,0:00,75.2,0:00,No,00:40.7,6,0,--,--,--
Elliptical,3/13/2020 14:48,FALSE,Elliptical,0,224,0:27:13,115,125,1.2,95,138,--,--,--,--,0,0,0,--,0,0,0,27:13:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Running,3/12/2020 16:34,FALSE,San Diego Running,5.33,799,1:00:17,150,175,4.3,171,188,11:18,7:20,7,3,0.83,0,0,--,0,0,0,1:00:17,0:00,75.2,0:00,No,03:18.3,6,0,--,--,--
Elliptical,3/11/2020 16:19,FALSE,Elliptical,0,671,1:02:18,135,154,3.2,28,144,--,--,--,--,0,0,0,--,0,0,0,1:02:18,0:00,75.2,0:00,No,00:00.0,1,0,--,--,--
