id,type,start_date_local,x_start_h,name,x_min,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,average_heartrate,max_heartrate,average_cadence,x_nearest_city_start,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,athlete_count,average_temp,distance,elapsed_time,start_latitude,start_longitude,timezone,x_date,x_elev_%,x_url
1213366256,Run,30.09.2017 14:59:08,15,Afternoon Run,58.1,6.128,9.48,6.33,9.17,33.3,146.5,170,81.8,NA-US-TN-Harrison,0.1,"[35.168236, -85.119787]","[35.168474, -85.121334]",208.1,230.5,1,,9862,3681,35.168236,-85.119787,(GMT-05:00) America/New_York,2017-09-30,0.34,https://www.strava.com/activities/1213366256
1213371165,Run,01.10.2017 17:16:19,17.3,Afternoon Run,55.5,6.006,9.24,6.49,17.9,137.6,,,82.7,NA-US-TN-Ooltewah,0.1,"[35.078252, -85.124528]","[35.077992, -85.125002]",247.9,302.6,1,,9665.5,3433,35.078252,-85.124528,(GMT-05:00) America/New_York,2017-10-01,1.42,https://www.strava.com/activities/1213371165
1272563817,Run,14.10.2017 07:22:35,7.4,Morning Run,3.5,0.273,12.68,4.73,5.59,0,,,82.9,NA-US-CA-La Jolla,0.4,"[32.758451, -117.238493]","[32.758134, -117.243033]",3.8,5.2,1,,440,208,32.758451,-117.238493,(GMT-08:00) America/Los_Angeles,2017-10-14,,https://www.strava.com/activities/1272563817
1272563861,Run,21.10.2017 09:41:26,9.7,Morning Run,194.8,6.462,30.14,1.99,5.82,271.6,,,52.7,NA-US-CA-Big Bear Lake,5.8,"[34.288834, -116.883321]","[34.296063, -116.945394]",2214,2405.7,1,,10399.8,12253,34.288834,-116.883321,(GMT-08:00) America/Los_Angeles,2017-10-21,2.61,https://www.strava.com/activities/1272563861
1272563912,Run,28.10.2017 07:20:03,7.3,Morning Run,88.1,10.057,8.76,6.85,8.5,66.2,155.1,173,83.1,NA-US-CA-Encinitas,0.1,"[33.040549, -117.293266]","[33.04094, -117.292794]",3.7,29,2,,16185.5,5637,33.040549,-117.293266,(GMT-08:00) America/Los_Angeles,2017-10-28,0.41,https://www.strava.com/activities/1272563912
1272563921,Run,01.11.2017 07:37:44,7.6,Morning Run,25.7,2.197,11.7,5.13,6.49,41.9,,,79.5,NA-US-CA-Santee,0.3,"[32.856208, -116.960509]","[32.853599, -116.960469]",112.9,149,1,,3536,1542,32.856208,-116.960509,(GMT-08:00) America/Los_Angeles,2017-11-01,1.18,https://www.strava.com/activities/1272563921
1272563947,Run,03.11.2017 07:19:25,7.3,Morning Run,46,5.082,9.06,6.62,12.75,70.2,163.7,185,81.9,NA-US-CA-Santee,0.9,"[32.861743, -116.959437]","[32.853612, -116.96053]",109.8,164.3,1,,8179.1,2763,32.861743,-116.959437,(GMT-08:00) America/Los_Angeles,2017-11-03,0.86,https://www.strava.com/activities/1272563947
1272563967,Run,07.11.2017 18:54:13,18.9,Evening Run,34.6,4.088,8.46,7.09,10.07,0,161.9,180,83.4,NA-US-CA-Coronado,0.1,"[32.721446, -117.150369]","[32.720881, -117.150031]",40.7,41.4,23,,6578.8,2281,32.721446,-117.150369,(GMT-08:00) America/Los_Angeles,2017-11-07,,https://www.strava.com/activities/1272563967
1272564010,Run,09.11.2017 06:13:59,6.2,Morning Run,100,11.004,9.08,6.61,8.28,102.4,163.5,180,82.4,NA-US-CA-Santee,1.9,"[32.855011, -116.981262]","[32.853609, -116.960538]",96,138,1,,17709.9,6165,32.855011,-116.981262,(GMT-08:00) America/Los_Angeles,2017-11-09,0.58,https://www.strava.com/activities/1272564010
1272564003,Run,10.11.2017 06:37:10,6.6,Morning Run,27.5,2.456,11.19,5.36,6.49,30.4,139,175,81.7,NA-US-CA-Santee,0,"[32.853747, -116.960155]","[32.853645, -116.960559]",105,125.7,1,,3952.9,1717,32.853747,-116.960155,(GMT-08:00) America/Los_Angeles,2017-11-10,0.77,https://www.strava.com/activities/1272564003
