id,type,type_m,x_gear_name,start_date_local,x_start_h,name,x_min,x_km,x_min/km,km/h,x_max_km/h,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,x_elev_m/km,average_heartrate,max_heartrate,average_cadence,average_watts,kilojoules,commute,private,visibility,workout_type,x_nearest_city_start,x_start_locality,x_end_locality,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,kudos_count,comment_count,achievement_count,athlete,athlete_count,average_speed,average_temp,display_hide_heartrate_option,distance,elapsed_time,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,location_city,location_country,location_state,manual,map,max_speed,moving_time,photo_count,pr_count,resource_state,start_date,start_latitude,start_longitude,timezone,total_photo_count,trainer,upload_id,upload_id_str,utc_offset,x_date,x_elev_%,x_url
997338922,Run,Run,,20.05.2017,6.9,Morning Run,80.1,12.89,6.22,9.65,12.6,8.009,10,6,7.83,11.8,0.92,,,91.2,,,0,0,everyone,,NA-US-CA-La Jolla,,,0,"[32.758274, -117.241904]","[32.758298, -117.242107]",1.5,14,0,0,11,{id},8,2.681,,0,12889.9,4947,garmin_push_1744626670,0,0,,0,0,0,,,,0,{id},3.5,4807,0,1,2,20.05.2017 13:54:56,32.758274,-117.241904,(GMT-08:00) America/Los_Angeles,0,0,1099491427,1099491427,-25200,5/20/2017,0.09,https://www.strava.com/activities/997338922
1585641971,Run,Run,,20.05.2018,16.3,Afternoon Run,61.5,8.938,6.88,8.72,11.16,5.554,11.07,5.42,6.93,40.3,4.51,138.8,165,85.7,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853526, -116.960591]","[32.853662, -116.960462]",105,121,3,0,0,{id},1,2.422,,1,8938.2,3696,garmin_push_2714797208,0,0,,1,0,0,,,,0,{id},3.1,3690,0,0,2,20.05.2018 23:15:31,32.853526,-116.960591,(GMT-08:00) America/Los_Angeles,0,0,1704545098,1704545098,-25200,5/20/2018,0.45,https://www.strava.com/activities/1585641971
2430260552,Run,Run,,20.05.2019,6.8,Morning Run,50.4,8.289,6.08,9.87,16.2,5.151,9.78,6.14,10.07,0,,167.3,190,88.2,,,0,0,everyone,,,,,,,,,,0,0,0,{id},1,2.743,,1,8289.3,3022,garmin_push_3723469731,0,0,,1,0,0,,,,0,{id},4.5,3022,0,0,2,20.05.2019 13:45:43,,,(GMT-08:00) America/Los_Angeles,0,1,2583113782,2583113782,-25200,5/20/2019,,https://www.strava.com/activities/2430260552
2637281707,Run,Run,,20.08.2019,11.7,Lunch Run,14.4,2.03,7.11,8.44,14.04,1.261,11.44,5.24,8.72,0,,129,147,84.1,,,0,0,everyone,,,,,,,,,,0,0,0,{id},1,2.344,,1,2030,868,garmin_push_3972575475,0,0,,1,0,0,,,,0,{id},3.9,866,0,0,2,20.08.2019 18:43:23,,,(GMT-08:00) America/Los_Angeles,0,1,2797507723,2797507723,-25200,8/20/2019,,https://www.strava.com/activities/2637281707
2637281718,Run,Run,,20.08.2019,18.3,Evening Run,41.3,5.83,7.09,8.47,12.24,3.622,11.4,5.26,7.61,230.4,39.52,151,169,81.7,,,0,0,everyone,,NA-US-CA-Coronado,,,0,"[32.733898, -117.158706]","[32.733887, -117.158731]",45.9,80.3,1,0,0,{id},17,2.352,,1,5829.5,2544,garmin_push_3972575492,0,0,,1,0,0,,,,0,{id},3.4,2479,0,0,2,21.08.2019 01:16:15,32.733898,-117.158706,(GMT-08:00) America/Los_Angeles,0,0,2797507728,2797507728,-25200,8/20/2019,3.95,https://www.strava.com/activities/2637281718
1193951844,Run,Run,,20.09.2017,19,Evening Run,18,3.25,5.54,10.83,13.68,2.02,8.92,6.73,8.5,2.9,0.89,,,83.1,,,0,0,everyone,,NA-US-CA-La Jolla,,,0,"[32.788741, -117.208979]","[32.788686, -117.209282]",2,5.4,0,0,0,{id},1,3.007,,0,3250.1,1141,garmin_push_1989404302,0,0,,0,0,0,,,,0,{id},3.8,1081,0,0,2,21.09.2017 01:58:37,32.788741,-117.208979,(GMT-08:00) America/Los_Angeles,0,0,1299719826,1299719826,-25200,9/20/2017,0.09,https://www.strava.com/activities/1193951844
1872019043,Run,Hike,,20.09.2018,11.9,Lunch Run,0.6,0.052,10.94,5.49,4.68,0.032,17.6,3.41,2.91,0,,,,45.3,,,0,0,everyone,,,,,0,"[27.251327, 100.145483]","[27.251214, 100.145863]",2582.2,2606.7,0,0,0,{id},1,1.524,,0,51.8,50,garmin_push_3050437213,0,0,,0,0,0,,,,0,{id},1.3,34,0,0,2,20.09.2018 03:53:13,27.251327,100.145483,(GMT+08:00) Asia/Shanghai,0,0,2005350260,2005350260,28800,9/20/2018,,https://www.strava.com/activities/1872019043
2732637078,Run,Hike,,20.09.2019,15.3,Afternoon Run,32.5,1,32.49,1.85,5.76,0.622,52.29,1.15,3.58,0,,,,47.3,,,0,0,everyone,,,,,,,,,,0,0,0,{id},1,0.513,,0,1000.4,1951,garmin_push_4087360742,0,0,,0,0,0,,,,0,{id},1.6,1951,0,0,2,20.09.2019 22:15:17,,,(GMT-08:00) America/Los_Angeles,0,1,2896602881,2896602881,-25200,9/20/2019,,https://www.strava.com/activities/2732637078
1939181913,Run,Hike,,20.10.2018,8.6,Morning Run,318.3,21.966,14.49,4.14,6.48,13.649,23.32,2.57,4.03,317.5,14.45,,,53.6,,,0,0,everyone,,NA-US-CA-Skyforest,,,12.3,"[34.274686, -117.127361]","[34.346498, -117.229434]",1000.5,1428.4,1,0,0,{id},1,1.15,,0,21966.3,24841,garmin_push_3130447308,0,0,,0,0,0,,,,0,{id},1.8,19096,0,0,2,20.10.2018 15:35:23,34.274686,-117.127361,(GMT-08:00) America/Los_Angeles,0,0,2074916085,2074916085,-25200,10/20/2018,1.45,https://www.strava.com/activities/1939181913
1293621205,Run,Run,,20.11.2017,16.7,Afternoon Run,19.8,3.459,5.73,10.48,14.4,2.149,9.21,6.51,8.95,0,,152.8,168,83.6,,,0,0,everyone,,,,,,,,,,0,0,0,{id},1,2.911,,1,3458.8,1188,garmin_push_2354375481,0,0,,1,0,0,,,,0,{id},4,1188,0,0,2,21.11.2017 00:39:48,,,(GMT-08:00) America/Los_Angeles,0,1,1400406030,1400406030,-28800,11/20/2017,,https://www.strava.com/activities/1293621205
